,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,"['Makita HR2600 Electric Rotary Hammer Drill 800W 26mm', 589.5]","['Makita B-65779 Smooth Face Claw Hammer', 150.0]","['Makita Electric Hammer Drill, 680w, 16mm, HP1640K', 285.0]","['Makita HR1841F Electric Rotary Hammer Drill 470W 18mm', 325.0]","['Makita Demolition Hammer HM0810T - 17mm Hex Shank Chipping Hammer', 561.55]","['Makita HP347DWE 14.4V G Series Li-Ion Hammer Drill', 1640.0]","['Makita HR2475-24mm (15/16"") - SDS-PLUS Combination Hammer', 589.0]","['Makita HR2020 - Rotary Hammer', 785.0]","['Makita Brushless/Cordless Hammer Drill, 18 V, 50/25 Nm, 1,7kg, LED, DHP485Z', 560.0]","['Makita HR2630 800W Rotary Hammer, 26 mm Concrete Capacity', 655.0]","['Makita HM1203C Demolition Hammer, SDS Max Shank, AVT, 1510W', 475.65]","['Makita DHP483RFJ 18V Li-Ion Hammer Drill', 705.0]","['Makita HR2631FT Combination Hammer Drill with Quick Change Chuck, 26 mm', 3249.62]","['Makita HP2070 2 Speed Hammer Drill, 20 mm Size, 1010W', 1470.0]","['Makita D-16287/29103 PT ACC SDS Plus Hammer Drill Bit, 16 mm Diameter', 1209.16]","['Makita B-12217 Thin Cutting Wheels - Flat Center (B-series) 115x1.0x22.23mm', 640.0]","['Makita Cordless Hammer Drill 18V, 91/58 Nm, DHP458Z', 29.96]","['Makita DHR171Z - 18V Lithium-Ion Cordless Sub-Compact Rotary Hammer, W/Out Battery', 4.55]","['Makita 00505 SDS-Plus Hammers Drill Bit, 7 mm Diameter x 160 mm Overall Length', 502.21]","['Makita Cordless Rotary Hammer, 18 V, Sds-Plus, LED, DHR165Z', 622.61]","['Makita D-59178 18 Pc. Assorted Drill Bit Set', 11.3]","['Makita D-00169/00555 SDS-Plus Hammers Drill Bit, 9 mm Diameter x 210 mm Overall Length', 760.47]","['Makita D00337/00723 SDS-Plus Hammers Drill Bit, 18 mm Diameter x 300 mm Overall Length', 13.51]","['Makita B-65947 Screw driver PZ1 (#1X80)', 25.22]","['Makita D-00016/00402 SDS-Plus Hammers Drill Bit, 4 mm Diameter x 110 mm Overall Length', 13.0]","['Makita D-00315/00701 SDS-Plus Hammers Drill Bit, 17 mm Diameter x 210 mm Overall Length', 11.3]","['Makita D-00290/D-00686 SDS-Plus Hammers Drill Bit, 16 mm Diameter x 210 mm Overall Length', 22.37]","['Makita HP2050 Electric Impact Drill 720W 16mm', 17.94]","['DANNIO Rotary Hammer Drill with Dual Drill Modes, 360° Rotating Auxiliary Handle, 26mm SDS-Plus, Concrete Power Tools with Case - 800 Watts (DN-26)', 515.93]","['Makita D-17566 PT ACC SDS Plus Hammer Drill Bit, 18 mm Diameter', 168.5]","['Makita 181490-7 Hammer Grease 30g for All Makes SDS Hammer Drills', 35.03]","['Makita HP457DWE - 18V G-Series Lithium-ion Cordless Percussion Driver Drill, 13mm, with 2 x 18V 1.5Ah Batteries and Charger', 13.0]","['Bosch Impact Drill Professional, GSB 1300, 2724456668901, Blue', 223.0]","['Makita D-00262/D-00658 SDS-Plus Hammers Drill Bit, 14 mm Diameter x 160 mm Overall Length', 13.83]","['Makita DHR242RMJ 18 V Li-ion LXT Brushless Rotary Hammer Complete with 2 x 4.0 Ah Li-ion Batteries and Charger in a Makpac Case', 2164.61]","['Makita D00022/00418 SDS-Plus Hammers Drill Bit, 5 mm Diameter x 110 mm Overall Length', 11.3]","['Makita XRH05Z 18V X2 LXT Lithium-Ion (36V) Cordless 1-Inch Rotary Hammer, accepts SDS-PLUS bits, Tool Only', 1594.86]","['Makita Cordless Hammer 10.8 V Sds-Plus Led No Battery Charger, HR140DZ', 400.34]","['Makita D-00212 SDS-Plus Hammers Drill Bit, 11 mm Diameter x 160 mm Overall Length', 11.93]","['Makita D20111 SDS-Plus Drill & Chisel 13pcS', 105.0]","['Makita HR2630T Electric Combi Hammer Drill 800W 26mm', 961.76]","['Makita HR4511C 240 V AVT SDS Max Rotary Demolition Hammer in a Carry Case', 4133.2]","['Makita HM1201 Demolition Hammer', 2401.13]","['Makita Corded Electric HR2630T - Power Hammers', 1059.29]","['Makita DHP484Z 18v Lithium-Ion Cordless Percussion Driver Drill, 13mm, W/Out Battery', 510.34]","['Makita Electric Hammer Drill, 680w, 16mm, HP1640K', 380.0]","['Makita E-05228 Hammer and Tool Holder', 109.18]","['Makita DF333DZ 12V Max Li-ion CXT Drill Driver, 10.8 V', 204.36]","['Makita D-00175/00561 SDS-Plus Hammers Drill Bit, 10 mm Diameter x 160 mm Overall Length', 29.24]","['Makita E-05240 Hammer and Axe Holder', 142.37]","['Makita Cordless Drill, 18 V, 62/36 Nm, DDF482Z', 334.96]","['Makita 3709 Laminate Trimmer 6mm (1/4"")', 370.0]","['Makita DCL501Z 18V Li-Ion Cyclone Cleaner W/Out Battery', 1670.0]","['Makita XPH12Z 18V LXT Lithium-Ion Brushless Cordless 1/2"" Hammer Driver-Drill, Tool Only, 18 V, Teal', 1862.08]","['Makita 10.8V LXT Cordless Hammer Drill, HP331DWAE', 639.0]","['Bosch Solo Cordless Rotary, 06119110K0', 576.52]","['Makita 6413 Rotary Drill with Keyless Chuck 450W', 215.0]","['Makita Cordless Drill, 18V, 54/30 Nm, BL, DDF484Z', 586.48]","['Makita B-65654 Demolition Hammer HM0810T, 900W', 1500.0]","['Makita Cordles 18 V, 115/60 Hammer Drill, DHP481Z', 970.0]","['Makita DHR202RFJ 18v SDS+ Hammer Drill With 2x 3.0Ah Li-Ion Batteries Supplied In Makpac Case', 1505.81]","['Makita DHR182ZJ Rotary Hammer, 18 V', 1342.78]","['Makita Cordless Rotary Hammer, 2X18 V, Sds-Max, 8J Led, No Battery Charger! DHR400ZKU', 3798.88]","['Makita E-05197 Fixing Pouch Hammer Holder', 116.85]","['Makita D-54972 Hm1812/Hm1810 Hammer Carrier - Multi-Colour', 679.6]","['Makita D-16302 PT ACC SDS Plus Hammer Drill Bit, 24 mm Diameter', 121.02]","['Makita HR2810 Rotary Hammer, 28mm Long, 800W Capacity', 1211.05]","['Makita 18V LXT Cordless Driver Drill 13mm, DF457DWE', 670.0]","['Bosch GSB 180-LI Professional 18V Cordless Combi', 510.0]","['Makita DHR202RTJ 18v SDS+ Hammer Drill With 2x 5.0ah Li-Ion Batteries Supplied In Makpac Case', 1842.25]","['Makita HP1640KX3 Electric Impact Drill 680W + Bit Set', 410.0]","['Makita B-14021 Tile Chisel for SDS-Max hammers', 475.0]","['Makita P-13312 - Chisel 75X300 mm Width Series Long Life Insertion Hexagonal 21', 106.15]","['Makita HR2650/2 Rotary Hammer, 800 W, 240 V, Blue, 26 mm', 154.59]","['Makita DDF481Z 18v Lithium-Ion Cordless Driver Drill, Brushless, W/Out Battery', 1183.84]","['Makita DHR263Z Cordless Combination Hammer Drill', 981.05]","['Makita Rotary Hammer 20mm SDS-Plus 710watts HR2020', 502.05]","['Makita A-80818 25mm SDS Max Shank Flat Cold Chisel, 400mm Length', 610.0]","['Makita 9558HNG Electric Angle Grinder 5"" 125mm 840W', 98.94]","['Makita XPH14T 18V LXT® Lithium-Ion Brushless Cordless 1/2"" Hammer Driver-Drill Kit (5.0Ah)', 350.0]","['Makita 763198-1 Keyless Chuck with 1/4"" Hexagon Shank', 138.11]","['Makita DK18113X1-18V G-Series Lithium-ion Cordless Combo Kit', 798.0]","['Makita HR2611F/HR2631F Combination Hammer Drill, 26 mm Size', 999.17]","['Makita Black and Blue 850 Watts Rotary Hammer Drill, HR3200C', 2520.0]","['Bosch Impact Hammer Drill, PSB 680 RE', 250.0]","['Makita HM002GZ03 Twin 40V Li-ion XGT Brushless SDS-Max Demolition Hammer, 80 V', 3842.97]","['Makita B-65648 Demolition Hammer HM0870C, 1100W', 2299.17]","['Makita HM1101C 240 V SDS Max AVT Demolition Hammer in a Carry Case', 2966.16]","['Makita Original Carbon Brushes, 1 Pair Makita Power Tool Original Replacement Parts CB-325, Part Number 195001-2, 194074-2', 13.0]","['Makita HR4013C 110 V AVT Rotary Hammer SDS Max in a Carry Case', 194.95]","['Makita AF506 2"" Brad Nailer, 18 Gauge', 2565.0]","['Makita DDF453Z 18 V Li-ion LXT Cordless Drill Driver, No Batteries Included', 335.0]","['Makita RP0900 - Router (Plunge Type), 8mm', 329.86]","['Makita Cordless Drill, 18 V, 50/25 Nm, 1.7 Kg, Led, Brushless, Ddf485Z', 784.17]","['Makita D-15257 SDS-Plus Bit', 34.8]","['Makita D-21200 SDS Plus Drill and Chisel Set, 17 pc.', 947.0]","['Makita XRH08PTW 18V x2 LXT (36V) Brushless Cordless 1-1/8"" AVT Rotary Hammer Kit, Accepts Sds-Plus Bits w/Hepa Dust Extractor (5.0Ah)', 99.35]","['Makita Rotary Hammer, 18 V, SDS-PLUS, 2,0J LED, BRUSHLESS MOTOR, DHR243Z', 180.84]","['Makita DTD153RFJ 18V Li-Ion Impact Driver', 1331.06]"
1,"['Makita A-85759 ACC Jigsaw Blade No.B24 for Mild Steel', 29.65]","['Makita A-86898 Jigsaw Blades Assortment, Multi-Colour', 19.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"['Makita B-65969 Screw driver PZ3 (#3X150)', 23.0]","['Makita DF001DW 3.8V Lithium-ion Cordless Screw Driver with Bits', 211.22]","['Makita P90196 Drill Bit And Screw Driver Bit Set Of 26 Pieces', 85.0]","['Makita P16782 Screw Driver Bit Set 10pcs', 65.0]","['Makita P90180 Ratchet Screw Driver Set 11pcs', 73.0]","['Makita B-65551 Double box spanner set 5pcs.', 110.0]","['Makita P46501 Power Drilling & Screw Driver Set 138pcs', 450.0]","['Makita B-65567 Ratchet & socket set 34pcs.', 180.0]","['Makita DDF481RTJ - 18V Lithium-Ion Cordless Driver Drill, Brushless, with 2 x 18V 5.0 Ah Batteries and Charger', 1858.89]","['Makita DDF481Z 18v Lithium-Ion Cordless Driver Drill, Brushless, W/Out Battery', 981.05]","['Makita DTM51Z 18v Lithium-ion Cordless Multi Tool, 6000-20000 Oscillations, 12 set angles', 526.15]","['Makita Impact Cordless Screwdriver 18V Li-Ion, 140 Nm, DTD155Z', 641.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"['Makita 800982 D35405 PT ACC Holesaw, 30 mm Diameter', 27.12]","['Makita M3601 MT Series Router Plunge Type 900W 8mm', 355.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"['Makita B-65800 Aviation Snip Cuts left', 65.0]","['Makita B-65791 Aviation Snip Cuts straight', 65.0]","['Makita B-65816 Aviation Snip Cuts right', 65.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"['Makita Circular saw, DSP600ZJ', 1610.51]","['Makita Cordless Circular Saw 18 V, 51 mm, 136x20, DSS501Z', 647.79]","['Makita DLS600Z 18v Lithium-ion Cordless Compound Miter Saw, 165mm, Brushless, W/Out Battery', 3001.56]","['Makita HP347DWE 14.4V G Series Li-Ion Hammer Drill', 589.0]","['Makita P52065 Technicians Pouch Drill and Screwdriver Bit Set (79 Pieces)', 655.0]","['Makita 6413 Rotary Drill with Keyless Chuck 450W', 290.0]","['Makita DJR187Z - 18V Lithium-Ion Cordless Recipro Saw , W/Out Battery', 215.0]","['Makita 5007N - 185mm Circular Saw', 350.0]","['Makita Cordless Brushless Motor Angle Grinder, 18 V - 125mm - 8500 min-1, DGA506Z', 306.7]","['Makita Cordless Circular Saw 18V, 66 mm, Diameter 165 mm x 20 mm, DHS630Z', 2032.16]","['Makita Cordless Multi Tool 18V 6000-20000 Oscillations Per Min, Oscillation Angle 3.2°, Dtm50Z', 784.92]","['Makita GD0603 Straight Grinder 6mm 240W Black Blue', 1267.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"['Makita B-66117 Go through screw driver PZ3', 26.0]","['Makita D16405 Drill Bits Assorted 9pcs', 450.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"['Makita DRT50Z - 18V Lithium-Ion Cordless Trimmer, Brushless, W/Out Battery', 700.0]","['Makita DKP180Z - 18V Lithium-Ion Cordless Planer Lxt 82mm W/Out Battery', 299.0]","['Makita DDF481Z 12v MAX Lithium-Ion Cordless Jig Saw, Brushless, W/Out Battery', 3001.56]","['Makita CC301DWAE 12V Max Lithium-ion Cordless Cutter with 2 x 12V 2.0 Ah Batteries and Charger', 684.65]","['Makita CL106FDZ 12v MAX Lithium-ion Cordless Cleaner', 1858.89]","['Makita DUB184Z 18V Lithium-ion Cordless Blower, Brushless, W/Out Battery', 981.05]","['Makita DTD171Z - 18V Lithium-Ion Cordless Impact Driver, Brushless, XPT, W/Out Battery', 1149.17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"['Makita 1 x razor 18 V, 0.65 l, 18 V', 463.22]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"['Makita DUR191LZX3 brushless Line Trimmer, 18 V', 1299.64]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
