name,price
"Makita EA3502S40B Petrol Chain Saw, 16-Inch Size",1484.43
"Makita Cordless Impact Driver, 10, 8 V, 110 NM, 1/4"", LED, TD110DZ",242.05
Makita HR2020 - Rotary Hammer,560.0
"Makita 196309-7 Keyless Drill Chuck 10 Bdf343, Multi-Colour",80.3
"Makita Impact Cordless Wrench 18V, 1000 Nm, LED 1/2, DTW1002Z",580.0
"Makita DF033DZ 12V Max Li-ion CXT Drill Driver, 10.8 V",103.0
"Makita Cordless Hammer 10.8 V Sds-Plus Led No Battery Charger, HR140DZ",15.09
"Makita DTM51Z 18v Lithium-ion Cordless Multi Tool, 6000-20000 Oscillations, 12 set angles",365.0
Makita A-89648 ‘M‘ Force Blade (Advanced Tooth Design) 185mm,526.15
"Makita D-21200 SDS Plus Drill and Chisel Set, 17 pc.",58.0
"Makita 18V+18V LXT - Lithium-ion Cordless Dust Extractor with Bluetooth, Tools Only, DVC864LZX",180.84
electric chain saw,2035.0
Makita P-51954 Fast Change Countersunk Set,699.0
"Makita 9556HNG Electric Angle Grinder 4"" 100mm 840W",40.05
"Makita Impact Screwdriver, Green, W 79 x D 79 X H 126 mm, DTD153Z",35.03
Makita P16782 Screw Driver Bit Set 10pcs,15.09
"Makita P-90370 120 Piece Drill and Bit PRO Accessory Set, Green",293.68
"Makita Cordless Rotary Hammer, 18 V, Sds-Plus, LED, DHR165Z",760.47
Makita 743008-8 Rubber Pad for Grinder A-81125/743009-6,32.18
Makita B-65969 Screw driver PZ3 (#3X150),23.0
"Makita 14.4V LXT Cordless Driver Drill 10mm, DF347DWE",650.0
"Makita DF333DZ 12V Max Li-ion CXT Drill Driver, 10.8 V",204.36
"Makita D-00315/00701 SDS-Plus Hammers Drill Bit, 17 mm Diameter x 210 mm Overall Length",22.37
Makita B-65800 Aviation Snip Cuts left,65.0
Makita DCL501Z 18V Li-Ion Cyclone Cleaner W/Out Battery,1570.0
"Black+Decker 18V 1.5Ah Li-Ion Cordless Electric Compact Drill Driver with 2 Batteries in Kitbox for Wood Drilling & Screwdriving/Fastening, Orange/Black - BCD001C2K-GB, 2 Years Warranty",318.0
"Makita DDF453Z 18 V Li-ion LXT Cordless Drill Driver, No Batteries Included",329.86
Makita 9237CB 180mm Polisher 240V,1001.56
"Makita Glass and Marble Tile Drill Bit with 1/4"" Hex Shank, Feature Drilling Stably,Chip Easily, Opening Neat Smooth, No Broken Edges & Tremor Phenomenon, (5mm Hole)",22.0
Makita DTD153RFJ 18V Li-Ion Impact Driver,1331.06
"Makita DJV180Z - 18V Lithium-Ion Cordless Jig Saw , W/Out Battery",531.76
Makita DHR263Z Cordless Combination Hammer Drill,502.05
"Makita HR2475-24mm (15/16"") - SDS-PLUS Combination Hammer",785.0
"Makita Wood Hole Saw Flat Drill Bits, Wood Boring Spade Flat Head Metric Drill Bit (25x150mm)",12.0
"Makita D15942 Glass Drill Bit, 4 mm Diameter x 65 mm Overall Length",20.47
"Makita Drill Press 1150 Watts, Black and Ivory [TB131]",970.0
"Makita Turquoise Cordless Angle Drill DA3010 10mm (3/8""), 2400 rpm, 450W, 1.6kg",921.54
"Makita Cordless Circular Saw 10,8 V - 85mm, HS301DZ",494.44
"Makita D-00262/D-00658 SDS-Plus Hammers Drill Bit, 14 mm Diameter x 160 mm Overall Length",13.83
Makita P-13312 - Chisel 75X300 mm Width Series Long Life Insertion Hexagonal 21,154.59
"Makita 6347DWAE 2 Speed Cordless Driver Drill, 13 mm Size, 18V, 2.0Ah",1331.16
Makita BO5030 Random Orbit Sander 125MM,444.41
"Makita DTD171Z - 18V Lithium-Ion Cordless Impact Driver, Brushless, XPT, W/Out Battery",475.0
"Makita D-07799 ACC Wood Spade Drill Bit, 160 mm Length",1320.08
"Makita D-07820 ACC Wood Spade Drill Bit, 160 mm Length",15.09
"Makita D-07808 ACC Wood Spade Drill Bit, 160 mm Length",17.31
"Makita D-00212 SDS-Plus Hammers Drill Bit, 11 mm Diameter x 160 mm Overall Length",15.72
"Makita Impact Cordless Screwdriver 18V Li-Ion, 140 Nm, DTD155Z",11.93
"Makita B-26842 HSS-G Double End Drill Bit, 8 mm x 79 mm Size",641.3
"Makita B-26858 HSS-G Double End Drill Bit, 10 mm x 89 mm Size",98.94
"Makita B-26836 HSS-G Double End Drill Bit, 6 mm x 66 mm Size",150.83
"Makita B-26761 HSS-G Double End Drill Bit, 4.5 mm x 58 mm Size",57.81
"Makita Cordless Circular Saw 18 V, 51 mm, 136x20, DSS501Z",37.87
"Makita B-26799 HSS-G Double End Drill Bit, 5 mm x 62 mm Size",647.79
"Makita D-06498 HSS Ground Point Drill Bit 10-Piece Pack, 8 mm Diameter x 117 mm Overall Length",44.52
"Makita D-06339 HSS Ground Point Drill Bit 10-Piece Pack, 4 mm Diameter x 75 mm Overall Length",104.32
"Makita D-07026 ACC Wood 3point Drill Bit, 60 mm Length",32.49
"Makita D-06454 HSS Ground Point Drill Bit 10-Piece Pack, 7 mm Diameter x 109 mm Overall Length",8.13
"Makita Rotary Hammer, 18 V, SDS-PLUS, 2,0J LED, BRUSHLESS MOTOR, DHR243Z",80.27
"Makita DHS680Z - 18V Lithium-Ion Cordless Circular Saw 165mm, W/Out Battery",97.67
Makita B-65981 Screw driver T15 (T15X100 ),14.0
"Makita Cordless Rotary Hammer, 2X18 V, Sds-Max, 8J Led, No Battery Charger! DHR400ZKU",3798.88
Makita 07646 26 x 450mm Hex Auger Bit,88.5
"Makita RP0900 - Router (Plunge Type), 8mm",499.0
Makita P90180 Ratchet Screw Driver Set 11pcs,570.54
Makita HP1640KX3 Electric Impact Drill 680W + Bit Set,192.32
"Makita 164095-8 Rip Fence for Circular Saws Guide Rule Bhs630/Bss500/Bss50, Multi-Colour",942.24
"Makita 3709 Laminate Trimmer 6mm (1/4"")",159.0
Makita 181490-7 Hammer Grease 30g for All Makes SDS Hammer Drills,27.33
"Makita 9557HNG - Angle Grinder, 115mm",334.96
"Makita Cordless Brushless Motor Angle Grinder, 18 V - 125mm - 8500 min-1, DGA506Z",13.0
Makita BO3700 Electric Finishng Sander 180W 93X185mm,309.53
Makita B-66042 Screw driver SL6.5 (6.5X125 ),20.0
"Makita Cordless Multi Tool 18V 6000-20000 Oscillations Per Min, Oscillation Angle 3.2°, Dtm50Z",752.08
Makita B-65551 Double box spanner set 5pcs.,110.0
Makita B-66117 Go through screw driver PZ3,162.46
Makita P46501 Power Drilling & Screw Driver Set 138pcs,450.0
"Makita HR2611F/HR2631F Combination Hammer Drill, 26 mm Size",999.17
Makita SJ401 Electric Scroll Saw 50W 18mm,1015.0
Makita B-65470 Locking Adjustable Wrench 250mm,115.0
"Makita 763608-8 1/4 Inch Collet, Black",40.72
Makita HR4511C 240 V AVT SDS Max Rotary Demolition Hammer in a Carry Case,4133.2
Makita DJR185Z 18V Li-Ion Reciprocating Saw W/Out Battery,416.24
"Makita Electric Hammer Drill, 680w, 16mm, HP1640K",380.0
Makita 5007N - 185mm Circular Saw,576.89
Makita B-65567 Ratchet & socket set 34pcs.,625.0
"Makita 763198-1 Keyless Chuck with 1/4"" Hexagon Shank",1800.0
"Makita JN1601 Nibbler, 1.6mm",30.91
Makita DHR202RFJ 18v SDS+ Hammer Drill With 2x 3.0Ah Li-Ion Batteries Supplied In Makpac Case,1438.76
"Makita HR2810 Rotary Hammer, 28mm Long, 800W Capacity",176.0
"MAKITA ELECTRIC LAWNMOWER, 37CM, 1400W, ELM3720",599.0
Makita B-12217 Thin Cutting Wheels - Flat Center (B-series) 115x1.0x22.23mm,4.55
"Bosch Impact Drill Professional, GSB 1300, 2724456668901, Blue",223.0
Makita D37150 Maccess Accessories Set 104pcs,290.0
Makita DK18113X1-18V G-Series Lithium-ion Cordless Combo Kit,798.0
Makita DBO180Z 18V Li-Ion Orbit Sander W/Out Battery,518.0
"Makita DUC252RF2 36V Li-Ion Chainsaw 10""",1762.0
15 Pieces 6.35mm Woodworking Carbide Router Bit sets (1/4 inch Shank),47.36
"Makita D-00290/D-00686 SDS-Plus Hammers Drill Bit, 16 mm Diameter x 210 mm Overall Length",49.89
Makita B-65894 Hex key wrench Set 9pcs.,17.94
"Makita P-51786 ACC Masonry Drill Bit, 6 mm Diameter",36.0
"Makita D15958 Glass Drill Bit, 5 mm Diameter x 65 mm Overall Length",13.83
Makita D16405 Drill Bits Assorted 9pcs,21.74
"Makita HR2630 800W Rotary Hammer, 26 mm Concrete Capacity",40.0
Makita D33691 Maccess Accessories Set 71pcs,705.0
"Makita D00337/00723 SDS-Plus Hammers Drill Bit, 18 mm Diameter x 300 mm Overall Length",215.0
"Bosch Isio Cordless Edging and Shrub Shear Set, 3.6 V, 1.5 Ah",25.22
Tivoly 11110520001 T-Gun Gun Cartridge Adaptable for Cordless Drills,314.1
"Black+Decker 18V 1.5Ah Li-Ion Cordless Drill Driver for Wood Drilling & Screwdriving/Fastening, Orange/Black - BCD001C1-GB, 2 Years Warranty",276.95
"Makita Cordles 18 V, 115/60 Hammer Drill, DHP481Z",213.0
"Ford 600 Watts Electric Impact Drill, 13 mm, FE1-10NCB, 5 Pieces Drill Bits",249.0
"Makita D-17566 PT ACC SDS Plus Hammer Drill Bit, 18 mm Diameter",970.0
Makita 80701 D16639 PT ACC HSS Stainless Steel Drill Bits 5 Pieces 2.5 x 57,129.0
"Makita D-07060 ACC Wood 3point Drill Bit, 110 mm Length",35.03
"Stanley 13MM, 700W Hammer Drill for Drilling Concreate, Metal, Wood, Aluminum with Metal Chuck & Variable speed Impact Drill for DIY, Yellow/Black, SDH700-B5, 2 Year Warranty.",32.49
"Makita Impact Cordless LED Brushless Motor screwdriver, DTD154Z",9.08
"Makita D-00016/00402 SDS-Plus Hammers Drill Bit, 4 mm Diameter x 110 mm Overall Length",181.0
"Makita HP2070 2 Speed Hammer Drill, 20 mm Size, 1010W",623.08
"Makita 00505 SDS-Plus Hammers Drill Bit, 7 mm Diameter x 160 mm Overall Length",11.3
Makita UB1103 - Electric Blower With Variable Speed,640.0
"Makita DTW1001Z 18V Lithium-Ion Cordless Impact Wrench, 19mm, W/Out Battery",11.3
DEWALT Right Angle Attachment - Impact Ready - DWARA120,1250.0
Makita DUC252Z Cordless Chain Saw,166.54
"Ford tools Electric Impact Drill with 5 PieceS Concrete Drill Bit Set, 500W, FE1-1008",1212.02
Makita HR2630T Electric Combi Hammer Drill 800W 26mm,115.0
"Makita D15986 Glass Drill Bit, 10 mm Diameter x 80 mm Overall Length",961.76
"Makita DRT50Z - 18V Lithium-Ion Cordless Trimmer, Brushless, W/Out Battery",27.12
Makita M3601 MT Series Router Plunge Type 900W 8mm,700.0
"Makita Impact Cordless Angle Screwdriver, 18 V, 1/4 inch 60 mm, DTL061Z",355.0
"Makita Glass and Marble Tile Drill Bit with 1/4"" Hex Shank, Feature Drilling Stably,Chip Easily, Opening Neat Smooth, No Broken Edges & Tremor Phenomenon, (4mm Hole)",876.76
"Makita D-07858 ACC Wood Spade Drill Bit, 160 mm Length",21.0
"Makita B-26668 HSS-G Double End Drill Bit, 3 mm x 46 mm Size",18.89
"Makita D-07733 ACC Wood Spade Drill Bit, 150 mm Length",23.0
"Makita Cordless Drill, 18 V, 40/23 Nm, BL, DDF483Z",11.93
"Makita D-00169/00555 SDS-Plus Hammers Drill Bit, 9 mm Diameter x 210 mm Overall Length",996.0
"Makita D-07129 ACC Wood 3point Drill Bit, 180 mm Length",13.51
"Makita D-07054 ACC Wood 3point Drill Bit, 95 mm Length",17.31
"Makita 18V LXT Cordless Driver Drill 13mm, DF457DWE",8.76
Makita DF001DW 3.8V Lithium-ion Cordless Screw Driver with Bits,200.0
"Makita Cordless Hammer Drill 18V, 91/58 Nm, DHP458Z",502.21
Makita D-05474 - Straight shank tungsten carbide-tipped masonry drill bit (Masonry drill bit),3.97
Makita HP2050 Electric Impact Drill 720W 16mm,515.93
"Makita Electric Hammer Drill, 680w, 16mm, HP1640K",285.0
Makita 6413 Rotary Drill with Keyless Chuck 450W,325.0
Makita HR2600 Electric Rotary Hammer Drill 800W 26mm,215.0
"Makita Cordless Drill, 18V, 54/30 Nm, BL, DDF484Z",589.5
Makita HP347DWE 14.4V G Series Li-Ion Hammer Drill,586.48
Makita P-51873 - HSS Drill Bit Set,589.0
"Makita DDF481RTJ - 18V Lithium-Ion Cordless Driver Drill, Brushless, with 2 x 18V 5.0 Ah Batteries and Charger",74.42
Makita P90196 Drill Bit And Screw Driver Bit Set Of 26 Pieces,1858.89
