name,price
"Dewalt Hole Saw, DT8122-QZ, 22MM",null
"Dewalt NiCd Battery, DE9098-XJ, 18V, 1.3Ah",null
"Dewalt Extreme Circular Saw Blade, DT10624-QZ, 165x20MM, 24 Teeth",null
"Dewalt Flap Disc, DT3294-QZ, Type 27, Grit P80, 115MM",null
"Dewalt Torsion Bit, DT7232-QZ, PH2, 25MM, PK5",null
"Dewalt Hammer Drill, D25033-B4, 710W",683.75
"Dewalt Hammer Drill, D25033C-B4, SDS-Plus, 22MM, 710W, Yellow and Black",616.25
"Dewalt Mixer And Rotary Drill, D21520-QS, 710W",980.0
"Dewalt Extreme SDS-Max Hammer Drill Bit, DT9401-QZ, 12x540MM",null
"Dewalt Extreme Circular Saw Blade, DT4288-QZ, 305x30MM, 80 Teeth",null
"Dewalt Heavy Duty Speed Blower, DWB800-B4, 800W, 110V",250.75
"Dewalt Circular Saw Blade, DT1160-QZ, 305x30MM, 24 Teeth",null
"Dewalt Hole Saw, DT8135-QZ, 35MM",null
"Dewalt Cordless Hammer Drill, DCD709D2-GB, 18V, 2Ah",1065.5
"Dewalt Annular Cutter, DT8410-XJ, 40x25MM",null
"Dewalt Chipping Hammer, D25810K-B5, 1150W",1556.5
"Dewalt Extreme SDS-Max Hammer Drill Bit, DT9450-QZ, 52x570MM",null
"Dewalt Dust Extraction Kit, DE7777-XJ",null
"Dewalt Dust Extraction Kit, DE7778-XJ",null
"Dewalt Impact Drill, D21710KM-B5, 701W, 13MM",364.25
"Dewalt Guide Rail, DWS5022-XJ",420.0
"Dewalt Guide Rail, DWS5023-XJ",null
"Dewalt Suction Adapter, DE8760-XJ, 100MM",null
"Dewalt Extreme2 Masonry Drill Bit, DT9610-QZ, 24x450MM",null
"Dewalt Dust Extraction Attachment, DWH051K-XJ, 27MM",null
"Dewalt SDS Chuck Adapter, DT7030-QZ",null
"Dewalt Keyed Chuck, DT7012-QZ, 13MM",null
"Dewalt Continuous Rim Diamond Blade, DW47901HP, 230MM",null
"Dewalt Extreme HSS Drill Bit Set, DT50474-XJ, 4.5x80MM, 10PCS",null
"Dewalt Extreme SDS-Max Hammer Drill Bit, DT9430-QZ, 28x570MM",null
"Dewalt Hole Saw Mandrel, DT8102-QZ",null
"Dewalt 10 Kg SDS Max In-Line Demolition Hammer With Shocks, D25901K-B4, 1500W, 110V",3415.75
"Dewalt SDS-Plus Hammer Drill Bit, DT8933-QZ, 12x160MM",null
"Dewalt Angle Grinder, DWE492-B5, 2200W, 9 Inch",475.75
"Dewalt Magentic Nut Setter, DT7402-QZ, 8x50MM",null
"Dewalt Wood Auger Drill Bit, DT4610-QZ, 16x200MM",null
"Dewalt Right Angle Drill, DCD740C1-GB, 360W",1019.25
"Dewalt Impact Socket Set, DT7506-QZ, 17PCS",null
"Dewalt Safety Boot, 50085-126-43, Size9, Black",232.25
"Dewalt Safety Boots, 50086-126-43, Size9, Black",267.25
"Dewalt Extreme HSS Drill Bit, DT50498-XJ, 18x191MM",null
"Dewalt Jigsaw Blade, DT2049-QZ, HCS, 100MM, PK5",null
"Dewalt Grinding Disc, DW4547SIA-AE, WA24RBF, 180x22.3x6.3MM",null
"Dewalt Cross Line Laser, DCE088D1R, 50 Mtrs",null
"Dewalt Extreme SDS-Max Hammer Drill Bit, DT60217-XJ, 30x380MM",null
"Dewalt Annular Cutter, DT8402-XJ, 18x25MM",null
"Dewalt Li-Ion Battery, DCB360-XJ, w/ SOC Indicator, 36V, 4Ah",null
"Dewalt Demolition Hammer, D25941K-B5, 1600W, 12Kg",4678.75
"Dewalt Replacement Edge Strip, DWS5029-XJ",null
"Dewalt Angle Grinder, DWE4001-B5, 800W, 4 Inch",278.0
"Dewalt Turbo Grinding Cup Wheel, DX4041, 125MM",null
"Dewalt SDS-Plus Hammer Drill Bit, DT8939-QZ, 14x200MM",null
"Dewalt Extreme SDS-Max Hammer Drill Bit, DT60203-XJ, 18x540MM",null
"Dewalt Circular Saw Blade, DT1163-QZ, 315x30MM, 24 Teeth",null
"Dewalt Angle Grinder, DWE4212-B4, 115MM, 1200W, S, Yellow and Black",346.0
"Dewalt Safety Boot, 50085-126-41, Size7, Black",232.25
"Dewalt Laser Distance Meter, DW03101-XJ, 100 Mtrs",875.75
"Dewalt Extreme2 SDS-Plus Hammer Drill Bit, DT9578-QZ, 16x160MM",25.75
